sentence1,label
"Battery life is excellent IF AND ONLY IF you change Power Mode to ""Battery saver"".",0
"Runs very hot, you're going to need to download Throttlestop app to disable the Turbo to keep this in the 50-65 Celsius range",0
The 16 GB DDR4-2400 SDRAM is fast,0
"Best laptop gaming experience, lightweight, superb design, good in middle games, distinctive performance in business, programming, 2-D design programs and a very convenient price",0
"The thin bezzels allow this 17.3"" laptop to fit into bags designed for 15.6"" laptops.",0
"Screen angle is limited before the rear edge hits the table top, after that point it starts to lift the back end of the laptop",0
"This 17"" screen is beautiful and fits in the footprint of most 15"" laptops.",0
It has a good angle of vision and you do not se pixels.,0
"The laptop is super fast, great to use to stream TV shows.",0
Vibrant display with good viewing angles thanks to the IPS display.,0
Keys could be a little wider and spaced farther apart given the size of the bottom half of the laptop.,0
battery drains fast,0
The keyboard is well love you and the tactile feel is good.,0
the fan runs loud and often.,0
this is so versatile that I found myself using the touch screen and voice instructions frequently,0
I requested a change and the msi support service was horrible the whole time.,0
I find the screen opens and closes very smooth with the right amount of tension and the hinges are very sturdy,0
Tons of preinstalled bloatware.,0
"While playing game FPS drops down to 10 for 5-10 seconds, every 1 or 2 minutes.",0
Wi-Fi operation is flawless.,0
Screen appears very dim after a while,0
it gets too hot when you play at full power.,0
"Battery last a lot, performance is really good",0
Fans do a great job keeping the system cool,0
keyboard doesnt work until 10-15 minutes later,0
"It is thin, slick, and light so I can carry it in my bag",0
The design of the keyboard and touchpad are large fit your hands great as well as the keyboard effects.,0
the plastic feels fairly cheap,0
keyboard feels a little flimsy when typing,0
"Setup was incredibly fast and easy, with Cortana guiding the way",0
If this would have the correct dwscription I would have given five stars.,0
The SteelSeries keyboard has great feel,0
Battery life is not quite what was promised.,0
"High-end specs include great CPU, ample memory, and disk space on SSD.",0
The upgraded 1080p screen is well worth buying this version for if you watch videos.,0
this laptops keyboard is actually useable for gaming,0
A biometric security system that can identify users before allowing access to sensitive data,1
The keyboard is fantastic,0
"2 months in and it suddenly went completely blank. No predator startup logo, no getting to bios, no booting from external media, no way in.",0
Windows will fail to update on this machine if any USB or USB composite devices are attached when trying to upgrade.,0
It has nice speed and is very lightweight compared to my old HP laptop,0
A chatbot that engages customers in discussion about what they are looking for,1
"I needed a small durable laptop that can handle lots of artboards, heavy psds, animation, video editing etc",0
It is slim and lightweight.,0
setting up keyboard RGB was confusing.,0
the keyboard is a little flimsy,0
arrived with a dent in one speaker and bad backlight bleed in one spot at the bottom of the screen.,0
CPU overheating to 103°C while gaming (AMD states Max is 105°C),0
A computer with a built-in mini projector,1
the computer has an AI Widget that continuously opens up and runs despite me closing it down,0
Watching movies on the full HD screen is as crisp and clear as any glass LCD screen.,0
I like the old way that to scroll down you slide your finger down not the opposite,0
"My fan started literally chirping like a bird 5 days after I bought it, and is now screeching weeks later.",0
8 GB RAM and the latest 8th generation core i7 processor makes it superfast,0
Some units have more backlight bleed,0
Speakers are not loud enough,0
Great thin design will swivel door USB-A allows an ultra-thin profile but still has 2 USB-A ports.,0
The keyboard is great and I love the 1 zone RGB.,0
The fingerprint sensor is reliable and makes signing in quick and easy.,0
It does get pretty doggone hot on the bottom so it isn't great for use on the lap,0
"The led light under the key is working, but the key itself is not responding.",0
The keyboard works well for my needs,0
Very thin and easy to carry around,0
the keyboard doesn't lock on one side of the tablet,0
The video card does not seem to work with the built in monitor,0
The keyboard rgb lighting is great for use in a dark room.,0
"The plug has bright blue light that never goes off. It is nice to be able to find the plug, but it never shuts off and it is so bright, not something I would want to keep in my bedroom. It is a mild annoyance.",0
It looks nice and handles real good,0
The weight is pretty light and the size is great.,0
The 144 Hz display is smooth and steps-up the game performance for sure.,0
I experience touchpad delay occasionally,0
the membrane keyboard feels decent and is VERY quiet.,0
the construction feels a bit flimsier than I'm used to,0
I purchased this coming from a daily Surface Pro 3 user because I wanted something a bit more powerful for work and play.,0
Sound quality is much higher than you'd expect for laptop speakers.,0
The track pad isn't great. Sometimes it's weirdly sensitive and mistakes a scroll for a click. Other times scrolling is difficult,0
Keyboard can be fully customized in the steeleseries app that comes installed on the laptop and feels nice to press,0
This thing is worth the money.,0
this laptop feels very well built.,0
Bought it because I need a tablet for travel purposes,0
I am able to run multiple plugins live with no audible latency!,0
"This is a toy, and not even a good one at that",0
resting palms on it will definitely leave prints,0
Only negative is that speakers are on the bottom.,0
Good set of I/O ports for the slimness of the laptop,0
"some of the keys are printed in a nonstandard way. They are flipped with the question mark under the slash, etc.",0
it could have problems with motherboard or ssd,0
It feels great and looks great.,0
"It has been able to handle multiple games easily, including the Anthem demo this weekend.",0
The display is amazing for somebody that has been accustomed to 60hz,0
Connecting to the network and internet was easy / breezy,0
The hinges have just enough flexibility to easily convert from laptop to tablet mode.,0
Keyboard is surprisingly comfortable to type with,0
"a good graphics card, tons of RAM, decent SSD and it's lightweight.",0
my new Zenbook is a very attractive light blue aluminum and has blue metallic keys instead of black plastic.,0
"Thin, good battery life, games well and looks stunning",0
"I don't know if the noise, the sometimes performance lag, or the quality of the material it is built with.",0
"A portable device with an integrated printer, so you can print out important documents and photos on the go",1
"Downloads are faster, as are software installs.",0
The best of both worlds between a desire for a tablet and a desire for a laptop comes with the purchase of a 2-in-1 laptop.,0
I'm constantly getting disconnected from wifi and when I am connected it's very slow.,0
I think I would have been happier with the bigger screen.,0
"I found the build quality great, and the keyboard is super nice to type.",0
"a keyboard that has customizable backlighting and macros, allowing you to tailor your typing experience to your preferences and needs, meeting the 2018 standard for keyboards.",1
The touchpad is accurate and offers plenty of gestures,0
The larger touch pad is a nice addition and allows easier movement across the screen without having to lift your finger and start again,0
"You can easily change clocking speeds, fan speeds and configure this laptop for high-end functionality.",0
"Lightning fast, with 32GB RAM for the most demanding apps",0
"Plant-based, biodegradable plastic that is strong enough to withstand heavy gaming yet gentle enough to protect the environment",1
The upper side of the keyboard is getting very hot.,0
these edges dig into your legs (if you are using it as a LAPtop) and it quickly becomes uncomfortable.,0
I have gotten was the screen bleeding once screen is dark.,0
The design is sleek and streamline,0
Stays acceptably cool with minimal throttling.,0
It's built solidly and performs well.,0
a bunch of dead pixels in the center of the screen about four inches from the left,0
Beautiful screen and only 2.2 pounds as advertised,0
If AORUS offers two AC adapters to end user will be fantastic!!,1
this is very sufficient for 1080p gaming at high to very high settings.,0
the speaker suddenly cracked and made a horrible loud snap and static noise,0
I don't think anything like video or photo editing or machine learning should be attempted on this.,0
The colors were really beautiful.,0
I had a very positive experience with technical support even though they weren't able to solve the problem remotely.,0
"The hardware is top notch, build quality is excellent and performance is just screaming fast.",0
"Bright screen, extremely solid performance.",0
"As for the camera, the quality was bad",0
its the current generation 6 core and runs smoothly and flawlessly,0
There is a super easy to use power saving mode that extends the battery life,0
"Along with the fully customizable keyboard, there is also the great screen scan is super fast and has great pixels.",0
It's fast enough to do everything I need and won't weigh you down.,0
I have purchased multiple laptops and this has to be my favorite one so far.,0
"the viewing angles are great, and the body itself is simply beautiful",0
"It is sleek, light and looks great.",0
good luck getting support from MSI their customer service is almost impossible to get a hold of,0
Ranging from smooth typing keyboard and the unique design of keyboard layout make the functionality stand out compared to other laptops that I have used.,0
I needed a replacement and customer service was just as terrible trying to scam me taking about $600.,0
The fans are always up in speed,0
the surface of the laptop becomes really hot when you play demanding games,0
The bezel is thin just right for me,0
"the computer is very amazing, the colors are bright and it is well built.",0
the fan is a little loud at times.,0
"it arrives in a sleek, black box with a beautiful photo of the laptop on its cover",0
The laptop looks great and thin just like I wanted.,0
my new laptop arrived with a noticeable bend in the scree,0
"Thermals are great, GPU never exceeded 71c at 100% usage, no throttling that i was aware of.",0
Powerful gaming system in a slim form factor.,0
"This is a well constructed machine, looks pretty, works fast enough for the use most people needs",0
The touch screen is great but some sites require a cursor.,0
"The design is slim, slick, and professional, the lattermost of which was another significant selling point for me",0
it is very fast,0
The fingerprint sensor took a while to calibrate,0
"Crystal clear, and plenty of resolution for a screen this size.",0
It is worth for the quality and durability.,0
"The design is superb, very stylish and eye-grabbing, without being tacky",0
A touch screen would be nice,0
the display looks incredible,0
It does tend to get hot in the lap and the fan can be loud even at a moderate speed.,0
When playing games (and sometimes just randomly) the fans whir up really loud for the extent of the game,0
The font on the keys is a bit odd,0
The device arrived faster than quoted packaged excellently,0
I was looking for a lightweight laptop that is good for gaming.,0
i have been able to download and use the apps i want,0
the battery life has been excellent with 6-8 hours of life,0
Provides portable gaming power at the same levels as a decent gaming desktop machine.,0
"It's not very durable, very lagy",0
"I'm a software developer, so I need a fast machine to do my daily work, and gamers notebooks usually fits this requirement.",0
It's a bit noisy,0
Build quality of chassis is top tier.,0
"in the middle of the display, a big rectangular patch of grayish color.",0
The graphics card speaks for itself in many ways and lives up to the expectation,0
"Its very light (4.65ish pounds), looks very sleek and thin",0
The hinge lift is an excellent feature.,0
it is filled with wonderful features,0
I am pretty sure that this thing is actually a fingerprint magnet.,0
"Out of the box set-up was simple, clean, and easy.",0
I am excited to use this for video production as well and imaging stuff very soon!,0
The look is sleek and impressive.,0
IT IS MORE THAN CAPABLE OF MOST OF YOUR DAILY ACTVITIES WITH OUT THE USUAL BLOAT IN TODAY'S LOWER PRICED OFFERINGS.,0
the overall tone is too blue in my opinion and I was unable to correct for it to my taste.,0
Battery life is also good enough,0
Vega support is not there or is hard to setup,0
"The screen is beautiful at 144HZ and it seems larger than it is, thanks to the thin bezel.",0
"A laptop with an onboard document reader, scanner, and photo editor",1
This keyboard is amazing.,0
CPU power is little poor.,0
It also has bad backlight bleeding.,0
"Typing feels great with crisp key action and back lighting, especially compared to some 2-in-1s' floppy detachable keyboards.",0
"The backlit keyboard is well-designed, with the keys having a surprising amount of travel for so thin a laptop.",0
"Gorgeous, functional and very powerful laptop",0
A feature that allows for different users to customize the device to their individual preferences,1
The keyboard layout is weird and unusual,0
Some other features i enjoy and was surprised by are the sound system and the charging system,0
It is surprisingly small and light which are great qualities while still maintaining the feeling of a durable and structured laptop,0
"The GPU is very powerful for this size, it eat everything I through at it.",0
"This computer shipped really fast, it came a day late but amazon took care of that.",0
"MSI managed to squeeze a powerful desktop into a 5lb, slim laptop form factor",0
the texture of the laptop feels quite nice and it definitely turns people's heads when they realize that this portable laptop can out perform most home built desktops for about the same price.,0
When you plug in the charger there is a static sound coming from the laptop,0
The only problem is that the delete key is right next to the on/off key.,0
it come with defective screen and a dead pixel and light bleed,0
it was a soft click when the fans were ramping down in speed but it eventually turned into an annoying hum when gaming.,0
"There is no back light on the keyboard, which is misleading and so frustrating.",0
"It’s perfect for video conferencing with the two microphones, audio is sent flawlessly.",0
It still feels solid.,0
The sound quality was better than expected and the sheer portability is king for a truck driver,0
"the keys seem completely flat, so I found it hard to center my fingers, and often hit two adjacent key simultaneously",0
"The programmable keyboard allows for both a creative design for your home, and a simple business oriented design for work.",0
"The keys feel like the chiclet apple-style keys, they're great.",0
The customization and colors of the keyboard are a wonderful bonus.,0
"The computer is fast, clean and good looking",0
Steel Series keyboard lighting control is a bit glitching when swapping between games & desktop mode,0
"I can hear the fan, as well, which some people may find annoying.",0
Zenbook 14 has a very good sound system.,0
Very loud fan noise when it becomes heated.,0
The aesthetics of the laptop also make it very appealing.,0
"a built-in digital-to-analog converter that converts digital audio signals into analog signals, providing higher-quality audio output.",1
it was not consistently fast,0
battery life isn't as good as reviews claim,0
The laptop also gets incredibly hot and loud when gaming at high settings,0
